City,Country,Temperature (F),Humidity (%),Cloudiness(%),Wind Speed (mph),Latitude
Honiara,SB,82.4,78,40,4.7,-9.43
Punta Arenas,CL,59.0,51,0,23.04,-53.16
Vila Velha,BR,77.0,94,75,3.36,-3.71
Belmonte,BR,71.0,94,92,3.62,-26.84
Ushuaia,AR,53.6,71,75,9.17,-54.81
Barrow,US,52.66,57,1,14.99,39.51
Saskylakh,RU,-30.48,50,0,10.11,71.97
Nuuk,GL,33.8,80,90,3.36,64.17
Narsaq,GL,28.4,74,5,2.73,60.91
Mae Ramat,TH,62.85,80,12,1.95,16.98
Kysyl-Syr,RU,-23.87,70,32,2.73,63.9
Alofi,NU,84.2,74,75,9.17,-19.06
Busselton,AU,63.48,100,48,11.79,-33.64
Clifton,US,54.19,54,90,11.41,40.86
Cape Town,ZA,68.0,64,0,18.34,-33.93
Puerto Ayora,EC,84.2,66,20,12.75,-0.74
Tiksi,RU,-19.86,57,80,3.96,71.64
Rikitea,PF,81.66,98,0,18.16,-23.12
Matagami,CA,23.0,67,1,9.17,49.76
Port Lincoln,AU,72.57,79,44,7.09,-34.72
Ixtapa,MX,77.0,69,20,12.75,20.71
Talnakh,RU,-8.12,77,68,23.53,69.49
Albany,AU,62.99,79,92,4.74,-35.02
Leningradskiy,RU,25.55,83,0,17.83,69.38
Yellowknife,CA,1.4,59,40,10.29,62.45
Upernavik,GL,26.49,90,92,13.24,72.79
Inuvik,CA,-11.35,69,75,2.73,68.36
Atuona,PF,81.39,100,20,18.28,-9.8
Katsuura,JP,39.2,60,40,9.17,33.93
Cranbrook,CA,32.0,73,90,3.36,49.51
Iqaluit,CA,6.8,92,75,4.7,63.75
Kapaa,US,77.07,83,75,3.36,22.08
Sopron,HU,17.6,85,75,11.41,47.68
Parabel,RU,-21.12,61,24,2.62,58.71
Pochutla,MX,84.65,97,5,19.46,15.74
Qaanaaq,GL,12.77,91,80,9.66,77.48
East London,ZA,71.54,100,100,9.66,-33.02
Vardo,NO,24.8,79,75,3.36,70.37
Saint-Philippe,RE,77.95,78,0,5.82,-21.36
Soyo,AO,73.7,97,44,2.73,-6.13
Inirida,CO,79.86,75,32,2.17,3.87
Esperance,AU,68.25,87,92,9.66,-33.86
Mahebourg,MU,80.6,83,40,11.41,-20.41
Blantyre,MW,69.65,100,92,1.16,-15.79
Whitehorse,CA,3.2,54,20,11.41,60.72
Manjacaze,MZ,69.24,93,8,6.42,-24.71
Acapulco,MX,84.2,66,5,9.17,16.86
Klaksvik,FO,32.0,100,48,5.82,62.23
Poum,NC,82.02,100,92,5.86,-20.23
Manaure,CO,80.6,74,0,13.87,11.78
Port Alfred,ZA,66.9,97,92,6.42,-33.59
Amuntai,ID,76.49,87,76,2.62,-2.42
Barcelos,BR,85.35,65,32,4.97,-0.97
Noumea,NC,86.0,58,40,2.24,-22.28
Hambantota,LK,79.1,100,0,12.68,6.12
Clyde River,CA,14.0,100,90,6.93,70.47
Sinor,IN,68.16,63,0,3.18,21.91
Khatanga,RU,-12.44,59,44,7.65,71.98
Jamestown,SH,73.97,100,76,12.01,-15.94
Castro,CL,57.45,90,8,2.62,-42.48
Severo-Kurilsk,RU,27.66,100,92,23.53,50.68
Sorrento,IT,55.76,72,40,9.17,40.63
Eureka,US,43.09,93,90,11.41,40.8
Novyye Lyady,RU,17.6,72,75,6.71,58.05
Vaini,TO,84.2,74,75,4.7,-21.2
Deniliquin,AU,73.02,62,24,5.53,-35.53
Port Hardy,CA,46.4,65,40,18.34,50.7
Meulaboh,ID,78.74,100,20,3.51,4.14
Hithadhoo,MV,80.67,100,80,7.99,-0.6
Kodiak,US,53.6,27,1,13.87,39.95
Sobolevo,RU,11.69,81,88,14.7,54.43
New Norfolk,AU,59.0,77,75,6.93,-42.78
Muros,ES,39.2,86,75,8.05,42.77
Timbiqui,CO,76.94,90,68,1.72,2.77
Ponta do Sol,CV,68.52,100,0,4.74,17.2
Santander,ES,50.0,66,48,12.75,43.46
Hilo,US,70.11,88,90,3.36,19.71
Sept-Iles,CA,28.4,74,75,8.05,50.2
Thompson,CA,24.8,79,75,8.05,55.74
Carbondale,US,52.95,66,75,9.17,37.73
Hasaki,JP,44.22,31,40,8.05,35.73
Nikolskoye,RU,3.2,84,36,4.47,59.7
Chicama,PE,69.8,88,75,5.82,-7.84
Namibe,AO,73.92,100,20,9.22,-15.19
Bredasdorp,ZA,68.0,68,48,9.17,-34.53
Agadez,NE,61.68,28,0,2.73,16.97
Alugan,PH,79.14,100,76,5.97,12.22
Kano,NG,73.4,28,0,5.82,11.99
Avarua,CK,86.0,74,40,6.93,-21.21
Zaria,NG,66.36,29,0,5.64,11.11
Kahului,US,78.06,61,40,15.26,20.89
Sur,OM,72.03,99,24,10.67,22.57
Adre,TD,82.25,27,100,5.97,13.47
Hobart,AU,59.0,77,75,6.93,-42.88
Port Elizabeth,ZA,64.4,93,90,1.12,-33.92
Manacapuru,BR,78.74,88,24,5.64,-3.3
Cidreira,BR,72.75,91,68,8.66,-30.17
Lompoc,US,56.64,66,90,10.29,34.64
Georgetown,SH,78.74,100,92,15.37,-7.93
Lebu,CL,59.84,92,0,14.7,-37.62
Port Macquarie,AU,69.8,73,90,8.05,-31.43
Usinsk,RU,14.79,83,32,15.37,66.0
Rudbar,AF,60.15,45,64,7.65,30.15
Nishihara,JP,45.82,48,1,19.28,35.74
Ancud,CL,58.85,83,68,1.61,-41.87
Luderitz,NA,69.8,52,0,29.97,-26.65
Havelock,US,65.37,93,90,8.05,34.88
Buraydah,SA,62.6,88,40,9.17,26.33
San Cristobal,EC,62.9,100,92,2.95,-1.02
Sulangan,PH,80.67,100,36,9.89,11.14
Mogadishu,SO,80.58,98,8,13.47,2.04
Kruisfontein,ZA,66.36,97,92,8.66,-34.0
Chuy,UY,69.78,94,0,6.98,-33.69
Hami,CN,28.74,64,0,4.97,42.84
Skjervoy,NO,30.32,100,88,7.31,70.03
Saldanha,ZA,68.0,56,0,5.82,-33.01
Hermanus,ZA,60.74,88,24,9.44,-34.42
Chokurdakh,RU,-2.94,74,76,12.91,70.62
Camacupa,AO,66.05,77,36,12.01,-12.02
Kamenka,RU,-6.32,73,0,7.87,53.19
Katangli,RU,21.45,94,88,21.97,51.71
Cap Malheureux,MU,80.6,83,40,11.41,-19.98
Mount Gambier,AU,66.36,65,68,3.51,-37.83
Pevek,RU,28.38,88,64,23.76,69.7
Butaritari,KI,83.1,100,56,9.55,3.07
Tuktoyaktuk,CA,-21.59,74,5,8.05,69.44
Inta,RU,11.1,84,76,5.75,66.04
Sao Filipe,CV,68.88,100,0,10.89,14.9
Mehamn,NO,26.02,79,75,18.34,71.03
Kihei,US,78.12,61,40,15.26,20.76
Soe,ID,76.89,74,0,1.39,-9.86
Rizhao,CN,36.44,74,32,12.8,35.43
Bambous Virieux,MU,80.6,83,40,11.41,-20.34
Atyrau,KZ,14.0,78,0,17.9,47.1
Nome,US,73.83,47,40,11.41,30.04
Port Blair,IN,83.15,100,24,9.55,11.67
Vestmannaeyjar,IS,31.98,100,0,13.69,63.44
Mar del Plata,AR,72.39,35,0,11.45,-46.43
Lakes Entrance,AU,65.69,91,64,2.28,-37.88
Oranjemund,NA,62.54,96,92,18.72,-28.55
Hofn,IS,33.42,100,0,24.87,64.25
Libreville,GA,78.8,83,20,5.82,0.39
Bundaberg,AU,82.47,93,0,4.85,-24.87
Faanui,PF,81.89,100,80,16.04,-16.48
Dikson,RU,-4.29,78,36,7.2,73.51
The Valley,AI,76.14,69,20,5.82,18.22
Zhigansk,RU,-21.75,63,44,2.62,66.77
Domoni,KM,84.0,100,76,10.67,-12.26
Najran,SA,64.4,63,0,6.93,17.54
Belyy Yar,RU,10.4,51,64,17.9,53.6
Richards Bay,ZA,67.49,99,44,2.39,-28.77
Sola,VU,81.8,100,20,9.22,-13.88
Palmer,US,16.74,56,1,5.82,61.6
Kavaratti,IN,83.69,100,0,5.75,10.57
Vetluga,RU,-2.31,73,36,3.29,57.85
Ribeira Grande,PT,51.65,100,92,15.48,38.52
Kodinsk,RU,-22.74,65,20,3.96,58.6
Bluff,NZ,62.67,93,48,9.78,-46.6
College,US,-2.28,84,1,9.17,64.86
Yulara,AU,75.2,31,0,8.05,-25.24
Fort Nelson,CA,5.0,77,90,12.75,58.81
Turukhansk,RU,-11.81,75,56,16.6,65.8
Lodja,CD,70.23,94,64,2.17,-3.52
Belogorsk,RU,1.29,60,8,9.44,50.92
Arraial do Cabo,BR,80.6,88,40,5.82,-22.97
Cherskiy,RU,-2.85,85,68,9.44,68.75
Isangel,VU,82.38,100,64,2.95,-19.55
Leninsk-Kuznetskiy,RU,-2.21,84,90,15.66,54.66
Outjo,NA,73.4,53,80,10.11,-20.11
Keelung,TW,66.88,83,75,5.82,25.13
Baherden,TM,47.42,100,92,4.74,38.44
Singaparna,ID,67.94,98,36,2.17,-7.35
Hobyo,SO,77.97,84,56,9.44,5.35
Palmas Bellas,PA,87.8,45,40,9.17,9.23
General Roca,AR,87.8,25,0,4.7,-39.03
Rocha,UY,70.14,76,20,7.65,-34.48
Aswan,EG,68.0,22,0,6.93,24.09
Kutum,SD,64.38,26,0,10.67,14.2
Jaciara,BR,78.06,83,44,2.06,-15.95
Lagoa,PT,57.2,76,20,14.99,37.14
Mount Isa,AU,80.6,74,75,5.82,-20.73
Moerai,PF,80.85,100,88,9.44,-22.43
Imbituba,BR,80.6,78,40,5.82,-28.24
Slonim,BY,10.11,80,76,6.08,53.09
Swan River,CA,21.9,89,8,2.06,52.11
Coos Bay,US,36.37,93,90,11.41,43.37
Padang,ID,80.31,100,80,0.6,-0.92
Emerald,AU,84.72,79,12,4.18,-23.53
Shingu,JP,44.6,52,40,14.99,33.72
Sergeyevka,KZ,8.72,86,64,11.23,53.88
Pisco,PE,77.0,73,0,24.16,-13.71
Lorengau,PG,82.83,100,32,2.39,-2.02
Souillac,MU,80.6,83,40,11.41,-20.52
Victoria,SC,82.4,83,20,11.41,-4.62
Piopio,NZ,66.18,93,92,10.89,-38.47
Anadyr,RU,30.2,92,40,29.08,64.73
Tual,ID,81.93,100,48,7.76,-5.67
Hrubieszow,PL,-1.59,69,48,2.95,50.8
Dingle,IE,35.22,100,92,28.34,52.14
Rockport,US,82.4,32,1,10.0,28.02
Tasiilaq,GL,17.6,72,0,4.7,65.61
Juneau,US,30.51,39,75,9.17,58.3
Saint George,BM,68.0,64,90,12.75,32.38
Guantanamo,CU,80.6,78,20,13.87,20.14
Plaeng Yao,TH,78.8,83,20,5.82,13.58
Boysun,UZ,34.68,100,88,1.83,38.2
Torbay,CA,33.8,100,75,6.93,47.66
Ambilobe,MG,70.64,98,36,1.28,-13.19
Manavgat,TR,50.0,46,0,6.93,36.79
Vostok,RU,12.05,75,76,7.43,46.45
Caravelas,BR,82.29,99,0,18.28,-17.73
Sambava,MG,80.9,100,32,16.49,-14.27
Katiola,CI,69.92,99,88,8.99,8.14
Geraldton,AU,69.8,83,90,18.34,-28.77
Rosarito,MX,75.2,29,5,8.05,27.04
Cabo San Lucas,MX,71.85,56,20,4.7,22.89
Taltal,CL,59.7,68,0,2.62,-25.41
Danielskuil,ZA,61.64,80,76,5.19,-28.19
Bassar,TG,73.38,78,0,7.09,9.26
Dunedin,NZ,67.53,92,92,4.29,-45.87
Kapuskasing,CA,26.6,49,75,6.93,49.42
Guerrero Negro,MX,64.38,50,0,12.8,27.97
Pecos,US,64.4,22,1,4.7,31.42
Turayf,SA,50.0,71,0,2.95,31.68
Lazaro Cardenas,MX,62.6,17,75,6.93,28.39
Strezhevoy,RU,-0.41,84,90,6.71,60.73
Krugersdorp,ZA,67.8,43,80,5.82,-26.1
Bull Savanna,JM,76.53,67,76,3.4,17.89
Dongsheng,CN,47.42,97,64,9.78,29.72
Bethel,US,19.4,73,75,6.93,60.79
Sabha,LY,60.06,27,0,10.56,27.03
Bondoukou,CI,69.69,98,32,4.97,8.04
Fare,PF,82.7,97,24,15.7,-16.7
Algiers,DZ,60.8,72,40,9.17,36.75
Sibolga,ID,67.8,100,20,1.83,1.74
Altay,CN,16.5,85,80,5.86,47.83
Maceio,BR,77.0,88,40,6.93,-9.67
Bereznik,RU,9.21,86,80,2.84,62.86
Longyearbyen,SJ,12.2,61,20,13.87,78.22
Aksarka,RU,-1.05,68,32,12.12,66.56
Bestobe,KZ,-3.66,77,12,10.33,52.5
Andenes,NO,28.4,79,88,12.75,69.31
Te Anau,NZ,62.45,98,76,3.29,-45.41
Kaitangata,NZ,69.06,87,76,5.41,-46.28
Nebolchi,RU,-8.25,65,24,2.73,59.12
Santa Marta,CO,89.6,46,20,23.04,11.24
Raudeberg,NO,11.17,52,0,5.82,61.99
Zhangjiakou,CN,24.96,62,0,6.08,40.77
Bilibino,RU,8.27,69,68,3.29,68.06
Orsk,RU,-4.01,64,0,15.66,51.23
Garden City,US,54.19,58,75,10.29,40.73
Yerbogachen,RU,-19.19,54,24,3.18,61.28
Brae,GB,26.02,73,76,8.05,60.4
Olovo,BA,24.8,100,90,4.7,44.13
Mantua,CU,77.16,66,0,3.74,22.29
Dzilam Gonzalez,MX,87.02,42,0,5.41,21.28
Guna,IN,58.17,83,0,3.18,24.65
Kenai,US,20.32,52,1,6.93,60.55
Praia da Vitoria,PT,51.8,62,40,15.14,38.73
Kribi,CM,71.27,100,44,2.73,2.94
Fortuna,US,43.3,93,90,11.41,40.6
Sinnamary,GF,79.5,97,92,10.78,5.38
Kapit,MY,73.97,98,88,1.83,2.02
Chara,RU,-17.52,64,56,2.39,56.9
Chipinge,ZW,65.15,97,64,2.17,-20.19
Mitu,CO,75.45,96,64,2.17,1.2
Cayenne,GF,77.0,88,20,2.24,4.94
Dunmore Town,BS,73.83,100,0,7.43,25.5
Baykit,RU,-23.91,33,44,2.73,61.68
Wainwright,CA,21.36,93,88,16.49,52.84
Terrace Bay,CA,32.0,71,40,4.7,48.78
North Tonawanda,US,35.6,69,90,20.8,43.04
Leh,IN,9.44,87,88,1.72,34.16
Naze,JP,55.4,76,40,5.82,28.37
Sechura,PE,78.47,68,0,14.03,-5.56
Pangnirtung,CA,23.0,92,90,3.4,66.15
Sao Joao da Barra,BR,80.49,97,56,13.91,-21.64
Srednekolymsk,RU,-10.19,70,76,7.09,67.46
Datong,CN,28.74,58,48,7.76,40.09
Darlowo,PL,18.3,100,92,9.89,54.42
Husavik,IS,30.2,80,90,9.17,66.04
Prince Rupert,CA,42.8,56,90,6.93,54.32
Conceicao do Araguaia,BR,75.63,94,32,4.52,-8.26
Santa Isabel do Rio Negro,BR,86.43,62,12,5.64,-0.41
Aykhal,RU,-31.74,51,12,5.75,65.95
Mayo,CA,-0.41,54,5,3.36,63.59
Tuatapere,NZ,65.46,92,68,4.74,-46.13
Havre-Saint-Pierre,CA,26.6,86,20,2.24,50.23
Sarkand,KZ,29.1,100,88,3.62,45.41
Iwanai,JP,34.68,100,88,32.14,42.97
Karasjok,NO,24.8,92,92,2.51,69.47
Tayirove,UA,8.6,84,20,5.53,46.36
Nargana,PA,78.65,100,92,13.8,9.44
Lambarene,GA,74.55,96,36,2.28,-0.7
Mahibadhoo,MV,82.83,99,80,11.45,3.78
Provideniya,RU,30.2,92,90,13.42,64.42
Sioux Lookout,CA,37.8,51,40,8.05,50.1
Lengshuitan,CN,53.67,100,92,6.76,26.41
Ous,RU,9.75,76,0,7.2,60.91
Bandarbeyla,SO,76.4,100,8,6.42,9.49
Tahe,CN,-6.41,55,8,2.39,52.34
Kirakira,SB,81.35,100,80,12.57,-10.46
Beringovskiy,RU,31.85,90,32,21.18,63.05
Bowen,AU,78.8,88,32,3.36,-20.01
Natal,BR,75.2,94,75,3.96,-5.81
Macapa,BR,84.2,79,20,9.17,0.05
George Town,KY,82.4,69,20,14.99,19.29
Turkmenabat,TM,39.81,93,0,5.97,39.09
Ouidah,BJ,82.4,83,40,11.41,6.37
Kabinda,CD,69.15,89,36,5.86,-6.14
Yar-Sale,RU,4.71,78,48,15.7,66.83
Thai Binh,VN,70.82,98,92,7.99,20.45
Huarmey,PE,70.23,67,24,3.29,-10.07
Hoopstad,ZA,60.74,100,68,14.36,-27.83
Yinchuan,CN,27.17,70,0,7.09,38.48
Shentala,RU,-4.29,66,44,3.4,54.44
Wilmington,US,49.62,81,90,10.29,39.75
Grand Gaube,MU,80.6,83,40,11.41,-20.01
Alyangula,AU,83.82,100,0,7.76,-13.85
Guangshui,CN,41.39,99,48,4.97,31.62
Rio Pardo de Minas,BR,72.89,49,44,5.08,-15.62
San Vicente,PH,79.41,100,48,10.45,14.11
Consett,GB,30.94,93,75,23.04,54.85
Oktyabrskoye,RU,-4.2,78,56,6.42,56.73
La Primavera,CO,91.7,30,24,8.32,5.49
Hirara,JP,65.32,82,75,6.93,24.8
Tadine,NC,82.56,95,64,4.07,-21.55
Henties Bay,NA,60.65,100,68,3.62,-22.12
Shiyan,CN,36.84,100,64,2.73,32.65
Clarksburg,US,54.95,100,90,11.41,39.28
Ingham,AU,82.2,95,92,6.42,-18.65
Maraa,BR,82.38,77,32,8.77,-1.83
Port Moresby,PG,80.6,88,20,4.7,-9.47
Palu,ID,70.86,80,32,1.95,-0.9
Teguise,ES,64.4,93,40,8.05,29.06
Labuhan,ID,75.77,88,92,1.05,-2.54
Bubaque,GW,75.2,73,0,8.05,11.28
Jalu,LY,53.85,69,0,3.29,29.03
Portland,AU,63.89,78,20,3.4,-33.35
Elko,US,46.4,66,75,19.46,40.83
Maldonado,UY,77.0,65,20,6.93,-34.91
Nanortalik,GL,29.1,89,0,9.44,60.14
Huilong,CN,51.15,99,76,2.73,31.15
Sitka,US,50.43,52,0,6.76,37.17
Nyagan,RU,9.57,83,64,7.87,62.14
Gualaquiza,EC,65.6,94,64,1.39,-3.4
Mezen,RU,13.22,78,32,5.75,65.85
Prince George,CA,28.4,74,90,23.04,53.92
Constitucion,MX,80.6,13,40,14.99,23.99
Riyadh,SA,60.8,82,75,2.24,24.63
Ilulissat,GL,37.4,59,75,12.75,69.22
Nichinan,JP,41.38,61,75,10.29,31.65
Garmsar,IR,34.86,84,0,2.39,35.22
Tugulym,RU,15.8,78,75,11.18,57.06
Port Arthur,US,72.63,46,1,17.22,29.9
Korla,CN,23.61,69,8,2.84,41.76
San Carlos de Bariloche,AR,73.4,38,0,20.8,-41.13
Chinsali,ZM,63.03,99,100,5.86,-10.55
Merauke,ID,85.04,86,20,5.86,-8.49
Mangan,IN,19.74,68,0,2.17,27.5
Norman Wells,CA,-7.61,57,20,2.24,65.28
Srivardhan,IN,66.09,95,0,3.29,18.03
Aguimes,ES,66.2,72,20,11.41,27.91
Margate,ZA,70.05,100,92,3.74,-30.86
Mogzon,RU,-7.04,66,0,5.86,51.74
Namatanai,PG,83.6,99,24,7.54,-3.66
Niteroi,BR,78.8,78,40,11.41,-29.95
Oktyabrskiy,RU,9.01,55,40,8.95,55.61
Inhambane,MZ,75.95,94,24,8.77,-23.87
Kavieng,PG,84.27,100,12,3.29,-2.57
Samarai,PG,83.1,100,32,3.51,-10.62
Sihora,IN,60.29,68,0,3.4,23.49
San Patricio,MX,78.8,78,5,11.41,19.22
Bani Walid,LY,66.05,36,44,15.03,31.76
Kennebunk,US,45.07,70,1,5.82,43.38
Manitouwadge,CA,32.0,70,40,4.7,49.12
Fairbanks,US,-2.26,84,1,9.17,64.84
Balkanabat,TM,44.22,91,44,5.97,39.51
Marawi,SD,61.59,39,0,9.78,18.48
Verkhnevilyuysk,RU,-27.24,42,12,2.73,63.45
San Andres,CO,84.2,62,20,11.41,8.22
Llanes,ES,37.65,84,64,5.64,43.42
Quatre Cocos,MU,80.6,83,40,11.41,-20.21
Collie,AU,58.22,85,48,9.66,-33.36
Grindavik,IS,32.0,100,0,16.11,63.84
New Amsterdam,GY,76.44,80,0,6.31,6.25
Tiarei,PF,87.8,62,20,8.05,-17.53
Upata,VE,81.75,53,92,8.21,8.02
Dungarpur,IN,66.27,49,0,3.96,23.85
Ulladulla,AU,66.2,72,75,5.82,-35.36
Kozan,TR,50.0,66,20,11.41,37.45
Kozmodemyansk,RU,6.8,65,0,2.24,56.33
Norsup,VU,80.0,99,92,2.17,-16.07
Kangaatsiaq,GL,18.75,100,0,8.99,68.31
Dori,BF,77.84,19,0,10.45,14.03
Muzhi,RU,-2.22,60,0,7.31,65.4
Chateau-Thierry,FR,33.21,62,0,18.34,49.05
Nabire,ID,75.27,89,12,2.06,-3.36
Kedougou,SN,80.58,38,20,7.65,12.56
La Libertad,SV,87.91,58,20,10.29,13.49
Minot,US,34.95,55,1,3.36,48.23
Dumai,ID,76.49,94,20,2.28,1.68
Jiaocheng,CN,62.99,76,64,2.73,24.68
Waitati,NZ,67.53,92,92,4.29,-45.75
Gwadar,PK,66.9,98,0,5.64,25.12
Antalaha,MG,76.62,96,44,10.0,-14.9
Langsa,ID,67.85,90,8,2.28,4.47
Saint-Pierre,PM,32.0,94,0,10.29,46.77
Ambon,ID,77.57,100,92,2.95,-3.7
Los Llanos de Aridane,ES,69.8,60,75,5.82,28.66
Pervomayskoye,RU,-1.64,80,68,10.78,57.07
Susuman,RU,-18.96,48,12,2.62,62.78
Camacari,BR,80.6,78,20,13.87,-12.7
Tshikapa,CD,70.1,89,92,2.95,-6.42
Haines Junction,CA,-1.95,64,0,2.73,60.75
Port-Cartier,CA,28.4,74,75,8.05,50.03
Tashara,RU,-3.57,76,48,7.76,55.52
Broome,AU,82.4,78,40,6.93,-17.97
Tura,RU,-20.22,56,56,2.28,64.27
Kachiry,KZ,1.11,72,44,10.0,53.07
Novaya Ladoga,RU,-9.6,52,36,2.51,60.11
Asyut,EG,64.4,34,0,2.84,27.18
Erdaojiang,CN,5.7,70,8,2.84,41.78
Touros,BR,73.07,100,88,5.19,-5.2
Alice Springs,AU,80.6,26,0,11.41,-23.7
Maumere,ID,82.7,100,0,5.19,-8.63
Oudtshoorn,ZA,62.6,100,92,6.93,-33.59
Kayerkan,RU,-7.35,75,64,26.66,69.35
Dong Xoai,VN,72.93,98,36,2.84,11.53
Batagay-Alyta,RU,-12.84,73,64,3.18,67.8
Dzhebariki-Khaya,RU,-17.07,49,56,3.62,62.22
Vao,NC,78.96,100,64,8.1,-22.67
Ngunguru,NZ,70.77,100,92,19.06,-35.62
Manokwari,ID,82.25,100,44,2.84,-0.87
Iranshahr,IR,54.3,94,92,3.74,27.21
Bonavista,CA,34.23,94,80,8.77,48.65
Salalah,OM,75.2,73,75,3.36,17.01
Trincomalee,LK,73.65,92,12,4.97,8.58
Voi,KE,65.91,98,80,3.06,-3.4
Camacha,PT,65.17,77,40,13.87,33.08
Fatehpur,PK,60.74,100,88,3.74,31.18
Botucatu,BR,76.71,69,32,4.85,-22.89
Chutove,UA,15.06,86,80,12.8,49.72
Tsumeb,NA,64.83,94,64,7.76,-19.25
Nguru,NG,67.98,29,0,7.87,12.88
Amudalavalasa,IN,59.16,97,0,2.73,18.41
Kloulklubed,PW,79.75,83,75,5.82,7.04
Aleksandrov Gay,RU,-6.27,74,0,10.56,50.14
Lacolle,CA,32.92,82,90,5.82,45.08
Porto Santo,PT,65.17,77,40,13.87,33.07
Tilichiki,RU,12.54,77,12,11.9,60.47
Bauchi,NG,64.38,45,0,4.18,10.31
San Borja,BO,73.52,92,32,2.39,-14.86
Carnarvon,AU,77.7,95,0,17.27,-24.87
Nancha,CN,8.58,48,0,4.63,47.14
Sorland,NO,34.32,100,12,12.8,67.67
Vilyuysk,RU,-26.52,40,20,2.84,63.75
Payakumbuh,ID,69.92,94,32,2.39,-0.23
Teguldet,RU,-1.19,78,48,3.18,57.31
Puerto del Rosario,ES,65.41,88,40,8.05,28.5
Khandyga,RU,-17.07,49,56,3.62,62.65
Praya,ID,75.2,94,20,4.52,-8.71
Evensk,RU,4.62,100,20,4.97,61.92
Kiunga,PG,81.57,84,8,2.73,-6.12
Hamilton,BM,68.0,64,90,12.75,32.3
Xique-Xique,BR,82.74,59,68,11.01,-10.82
Oranjestad,AW,80.6,78,20,17.22,12.52
Carson City,US,36.95,100,40,9.17,39.16
Honningsvag,NO,24.8,79,75,18.34,70.98
Salamanca,CL,53.58,77,0,0.72,-31.78
Westport,NZ,70.41,81,48,3.29,-41.75
Shu,KZ,33.92,100,92,3.74,43.6
Lavrentiya,RU,27.89,98,88,33.38,65.58
Mnogovershinnyy,RU,1.25,69,56,2.62,53.94
Bardiyah,LY,56.46,100,0,7.09,31.76
Awjilah,LY,56.6,65,0,6.42,29.14
Deputatskiy,RU,-17.57,48,80,3.96,69.3
Saint-Joseph,RE,77.99,78,0,5.82,-21.37
Moosomin,CA,20.55,90,0,3.29,50.14
Meadow Lake,CA,12.2,92,20,4.7,54.13
Grootfontein,NA,62.31,98,8,2.95,-19.56
San Juan,US,84.61,16,1,16.11,26.19
Coffs Harbour,AU,73.4,69,90,6.93,-30.3
Jumla,NP,27.48,92,20,1.95,29.28
Bismil,TR,46.4,81,75,5.82,37.85
Northam,AU,59.0,87,0,8.05,-31.65
Kpandae,GH,77.84,79,0,6.76,8.46
Watertown,US,33.51,68,1,6.93,44.9
Davila,PH,77.0,100,75,2.24,18.47
Roebourne,AU,83.42,64,8,3.4,-20.77
Pacasmayo,PE,68.3,95,44,12.91,-7.4
Svetlogorsk,RU,6.8,65,0,6.71,53.14
Mayor Pablo Lagerenza,PY,78.02,85,32,4.18,-19.93
Belaya Gora,RU,-12.84,80,68,9.89,68.54
Inongo,CD,73.29,92,64,3.06,-1.93
Akdepe,TM,31.5,92,90,9.17,42.05
Ithaca,US,36.97,93,90,9.17,42.44
Kalmunai,LK,72.3,100,44,2.95,7.42
Pak Phanang,TH,79.86,100,100,4.97,8.35
Shubarshi,KZ,-6.32,58,0,6.98,48.59
